batch_id,daq,I3Photons_empty,I3Photons_nonempty,empty_frac,status,error,path
3902,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3902.i3
3903,200.0,144.0,56.0,0.72,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3903.i3
3904,200.0,133.0,67.0,0.665,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3904.i3
3905,200.0,134.0,66.0,0.67,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3905.i3
3906,200.0,152.0,48.0,0.76,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3906.i3
3907,200.0,134.0,66.0,0.67,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3907.i3
3908,200.0,138.0,62.0,0.69,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3908.i3
3909,200.0,137.0,63.0,0.685,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3909.i3
3910,200.0,127.0,73.0,0.635,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3910.i3
3911,,,,,FAIL,RuntimeError: input stream error,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3911.i3
3912,200.0,130.0,70.0,0.65,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3912.i3
3913,200.0,136.0,64.0,0.68,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3913.i3
3914,200.0,154.0,46.0,0.77,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3914.i3
3915,200.0,139.0,61.0,0.695,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3915.i3
3916,200.0,145.0,55.0,0.725,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3916.i3
3917,200.0,151.0,49.0,0.755,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3917.i3
3918,200.0,128.0,72.0,0.64,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3918.i3
3919,200.0,143.0,57.0,0.715,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_3919.i3
392,200.0,141.0,59.0,0.705,OK,,/project/6008051/pone_simulation/MC10-000002-nu_mu-2_7-LeptonInjector-PROPOSAL-clsim/Photon/cls_392.i3
