string,x,y
170,760.0,-37.89764466969427
171,-720.0,31.38438763306081
172,-640.0,31.38438763306081
173,-560.0,31.38438763306081
174,-480.0,31.38438763306081
175,-400.0,31.38438763306081
176,-320.0,31.38438763306081
177,-240.0,31.38438763306081
178,-160.0,31.38438763306081
179,-80.0,31.38438763306081
180,0.0,31.38438763306081
181,80.0,31.38438763306081
182,160.0,31.38438763306081
183,240.0,31.38438763306081
184,320.0,31.38438763306081
185,400.0,31.38438763306081
186,480.0,31.38438763306081
187,560.0,31.38438763306081
188,640.0,31.38438763306081
189,720.0,31.38438763306081
190,-760.0,100.6664199358159
191,-680.0,100.6664199358159
192,-600.0,100.6664199358159
193,-520.0,100.6664199358159
194,-440.0,100.6664199358159
195,-360.0,100.6664199358159
196,-280.0,100.6664199358159
197,-200.0,100.6664199358159
198,-120.0,100.6664199358159
199,-40.0,100.6664199358159
200,40.0,100.6664199358159
201,120.0,100.6664199358159
202,200.0,100.6664199358159
203,280.0,100.6664199358159
204,360.0,100.6664199358159
205,440.0,100.6664199358159
206,520.0,100.6664199358159
207,600.0,100.6664199358159
208,680.0,100.6664199358159
209,760.0,100.6664199358159
210,-720.0,169.94845223857098
211,-640.0,169.94845223857098
212,-560.0,169.94845223857098
213,-480.0,169.94845223857098
214,-400.0,169.94845223857098
215,-320.0,169.94845223857098
216,-240.0,169.94845223857098
217,-160.0,169.94845223857098
218,-80.0,169.94845223857098
219,0.0,169.94845223857098
220,80.0,169.94845223857098
221,160.0,169.94845223857098
222,240.0,169.94845223857098
223,320.0,169.94845223857098
224,400.0,169.94845223857098
225,480.0,169.94845223857098
226,560.0,169.94845223857098
227,640.0,169.94845223857098
228,720.0,169.94845223857098
229,-680.0,239.23048454132606
230,-600.0,239.23048454132606
231,-520.0,239.23048454132606
232,-440.0,239.23048454132606
233,-360.0,239.23048454132606
234,-280.0,239.23048454132606
235,-200.0,239.23048454132606
236,-120.0,239.23048454132606
237,-40.0,239.23048454132606
238,40.0,239.23048454132606
239,120.0,239.23048454132606
240,200.0,239.23048454132606
241,280.0,239.23048454132606
242,360.0,239.23048454132606
243,440.0,239.23048454132606
244,520.0,239.23048454132606
245,600.0,239.23048454132606
246,680.0,239.23048454132606
247,-640.0,308.5125168440811
248,-560.0,308.5125168440811
249,-480.0,308.5125168440811
250,-400.0,308.5125168440811
251,-320.0,308.5125168440811
252,-240.0,308.5125168440811
253,-160.0,308.5125168440811
254,-80.0,308.5125168440811
255,0.0,308.5125168440811
256,80.0,308.5125168440811
257,160.0,308.5125168440811
258,240.0,308.5125168440811
259,320.0,308.5125168440811
260,400.0,308.5125168440811
261,480.0,308.5125168440811
262,560.0,308.5125168440811
263,640.0,308.5125168440811
264,-680.0,377.7945491468362
265,-600.0,377.7945491468362
266,-520.0,377.7945491468362
267,-440.0,377.7945491468362
268,-360.0,377.7945491468362
269,-280.0,377.7945491468362
270,-200.0,377.7945491468362
271,-120.0,377.7945491468362
272,-40.0,377.7945491468362
273,40.0,377.7945491468362
274,120.0,377.7945491468362
275,200.0,377.7945491468362
276,280.0,377.7945491468362
277,360.0,377.7945491468362
278,440.0,377.7945491468362
279,520.0,377.7945491468362
280,600.0,377.7945491468362
281,680.0,377.7945491468362
282,-560.0,447.07658144959123
283,-480.0,447.07658144959123
284,-400.0,447.07658144959123
285,-320.0,447.07658144959123
286,-240.0,447.07658144959123
287,-160.0,447.07658144959123
288,-80.0,447.07658144959123
289,0.0,447.07658144959123
290,80.0,447.07658144959123
291,160.0,447.07658144959123
292,240.0,447.07658144959123
293,320.0,447.07658144959123
294,400.0,447.07658144959123
295,480.0,447.07658144959123
296,560.0,447.07658144959123
297,-520.0,516.3586137523463
298,-440.0,516.3586137523463
299,-360.0,516.3586137523463
300,-280.0,516.3586137523463
301,-200.0,516.3586137523463
302,-120.0,516.3586137523463
303,-40.0,516.3586137523463
304,40.0,516.3586137523463
305,120.0,516.3586137523463
306,200.0,516.3586137523463
307,280.0,516.3586137523463
308,360.0,516.3586137523463
309,440.0,516.3586137523463
310,520.0,516.3586137523463
311,-480.0,585.6406460551013
312,-400.0,585.6406460551013
313,-320.0,585.6406460551013
314,-240.0,585.6406460551013
315,-160.0,585.6406460551013
316,-80.0,585.6406460551013
317,0.0,585.6406460551013
318,80.0,585.6406460551013
319,160.0,585.6406460551013
320,240.0,585.6406460551013
321,320.0,585.6406460551013
322,400.0,585.6406460551013
323,480.0,585.6406460551013
324,-360.0,654.9226783578564
325,-280.0,654.9226783578564
326,-200.0,654.9226783578564
327,-120.0,654.9226783578564
328,-40.0,654.9226783578564
329,40.0,654.9226783578564
330,120.0,654.9226783578564
331,200.0,654.9226783578564
332,280.0,654.9226783578564
333,360.0,654.9226783578564
334,-240.0,724.2047106606115
335,-160.0,724.2047106606115
336,-80.0,724.2047106606115
337,0.0,724.2047106606115
338,80.0,724.2047106606115
339,160.0,724.2047106606115
340,240.0,724.2047106606115
