string,x,y
379,-180.0,-277.1
380,-140.0,-277.1
381,-100.0,-277.1
382,-60.0,-277.1
383,-20.0,-277.1
384,20.0,-277.1
385,60.0,-277.1
386,100.0,-277.1
387,140.0,-277.1
388,180.0,-277.1
389,220.0,-277.1
390,260.0,-277.1
391,300.0,-277.1
392,340.0,-277.1
393,380.0,-277.1
394,420.0,-277.1
395,460.0,-277.1
396,500.0,-277.1
397,540.0,-277.1
398,580.0,-277.1
399,620.0,-277.1
400,660.0,-277.1
401,700.0,-277.1
402,-720.0,-242.5
403,-680.0,-242.5
404,-640.0,-242.5
405,-600.0,-242.5
406,-560.0,-242.5
407,-520.0,-242.5
408,-480.0,-242.5
409,-440.0,-242.5
410,-400.0,-242.5
411,-360.0,-242.5
412,-320.0,-242.5
413,-280.0,-242.5
414,-240.0,-242.5
415,-200.0,-242.5
416,-160.0,-242.5
417,-120.0,-242.5
418,-80.0,-242.5
419,-40.0,-242.5
420,0.0,-242.5
421,40.0,-242.5
422,80.0,-242.5
423,120.0,-242.5
424,160.0,-242.5
425,200.0,-242.5
426,240.0,-242.5
427,280.0,-242.5
428,320.0,-242.5
429,360.0,-242.5
430,400.0,-242.5
431,440.0,-242.5
432,480.0,-242.5
433,520.0,-242.5
434,560.0,-242.5
435,600.0,-242.5
436,640.0,-242.5
437,680.0,-242.5
438,720.0,-242.5
439,-740.0,-207.8
440,-700.0,-207.8
441,-660.0,-207.8
442,-620.0,-207.8
443,-580.0,-207.8
444,-540.0,-207.8
445,-500.0,-207.8
446,-460.0,-207.8
447,-420.0,-207.8
448,-380.0,-207.8
449,-340.0,-207.8
450,-300.0,-207.8
451,-260.0,-207.8
452,-220.0,-207.8
453,-180.0,-207.8
454,-140.0,-207.8
455,-100.0,-207.8
456,-60.0,-207.8
457,-20.0,-207.8
458,20.0,-207.8
459,60.0,-207.8
460,100.0,-207.8
461,140.0,-207.8
462,180.0,-207.8
463,220.0,-207.8
464,260.0,-207.8
465,300.0,-207.8
466,340.0,-207.8
467,380.0,-207.8
468,420.0,-207.8
469,460.0,-207.8
470,500.0,-207.8
471,540.0,-207.8
472,580.0,-207.8
473,620.0,-207.8
474,660.0,-207.8
475,700.0,-207.8
476,740.0,-207.8
477,-760.0,-173.2
478,-720.0,-173.2
479,-680.0,-173.2
480,-640.0,-173.2
481,-600.0,-173.2
482,-560.0,-173.2
483,-520.0,-173.2
484,-480.0,-173.2
485,-440.0,-173.2
486,-400.0,-173.2
487,-360.0,-173.2
488,-320.0,-173.2
489,-280.0,-173.2
490,-240.0,-173.2
491,-200.0,-173.2
492,-160.0,-173.2
493,-120.0,-173.2
494,-80.0,-173.2
495,-40.0,-173.2
496,0.0,-173.2
497,40.0,-173.2
498,80.0,-173.2
499,120.0,-173.2
500,160.0,-173.2
501,200.0,-173.2
502,240.0,-173.2
503,280.0,-173.2
504,320.0,-173.2
505,360.0,-173.2
506,400.0,-173.2
507,440.0,-173.2
508,480.0,-173.2
509,520.0,-173.2
510,560.0,-173.2
511,600.0,-173.2
512,640.0,-173.2
513,680.0,-173.2
514,720.0,-173.2
515,760.0,-173.2
516,-740.0,-138.6
517,-700.0,-138.6
518,-660.0,-138.6
519,-620.0,-138.6
520,-580.0,-138.6
521,-540.0,-138.6
522,-500.0,-138.6
523,-460.0,-138.6
524,-420.0,-138.6
525,-380.0,-138.6
526,-340.0,-138.6
527,-300.0,-138.6
528,-260.0,-138.6
529,-220.0,-138.6
530,-180.0,-138.6
531,-140.0,-138.6
532,-100.0,-138.6
533,-60.0,-138.6
534,-20.0,-138.6
535,20.0,-138.6
536,60.0,-138.6
537,100.0,-138.6
538,140.0,-138.6
539,180.0,-138.6
540,220.0,-138.6
541,260.0,-138.6
542,300.0,-138.6
543,340.0,-138.6
544,380.0,-138.6
545,420.0,-138.6
546,460.0,-138.6
547,500.0,-138.6
548,540.0,-138.6
549,580.0,-138.6
550,620.0,-138.6
551,660.0,-138.6
552,700.0,-138.6
553,740.0,-138.6
554,-760.0,-103.9
555,-720.0,-103.9
556,-680.0,-103.9
557,-640.0,-103.9
558,-600.0,-103.9
559,-560.0,-103.9
560,-520.0,-103.9
561,-480.0,-103.9
562,-440.0,-103.9
563,-400.0,-103.9
564,-360.0,-103.9
565,-320.0,-103.9
566,-280.0,-103.9
567,-240.0,-103.9
568,-200.0,-103.9
569,-160.0,-103.9
570,-120.0,-103.9
571,-80.0,-103.9
572,-40.0,-103.9
573,0.0,-103.9
574,40.0,-103.9
575,80.0,-103.9
576,120.0,-103.9
577,160.0,-103.9
578,200.0,-103.9
