RunID,SubrunID,EventID,SubEventID
3170,4294967295,99,0
4424,4294967295,45,0
8538,4294967295,60,0
77,4294967295,76,0
2574,4294967295,150,0
1406,4294967295,136,0
1549,4294967295,71,0
6551,4294967295,70,0
5666,4294967295,72,0
3385,4294967295,149,0
4993,4294967295,169,0
7873,4294967295,152,0
1795,4294967295,144,0
4088,4294967295,141,0
5702,4294967295,102,0
8729,4294967295,88,0
4959,4294967295,52,0
4604,4294967295,81,0
2293,4294967295,90,0
3082,4294967295,43,0
6598,4294967295,174,0
4303,4294967295,71,0
5274,4294967295,167,0
5865,4294967295,98,0
7896,4294967295,20,0
6007,4294967295,123,0
9046,4294967295,119,0
4162,4294967295,171,0
933,4294967295,186,0
8550,4294967295,143,0
4297,4294967295,37,0
9086,4294967295,37,0
2225,4294967295,23,0
7033,4294967295,168,0
4207,4294967295,157,0
1263,4294967295,23,0
5927,4294967295,147,0
5564,4294967295,163,0
5854,4294967295,12,0
8239,4294967295,60,0
7522,4294967295,75,0
1677,4294967295,68,0
5470,4294967295,102,0
65,4294967295,151,0
1084,4294967295,9,0
5931,4294967295,162,0
9826,4294967295,45,0
4881,4294967295,55,0
9542,4294967295,128,0
3085,4294967295,62,0
7677,4294967295,91,0
2305,4294967295,65,0
7386,4294967295,51,0
463,4294967295,91,0
2901,4294967295,134,0
9037,4294967295,59,0
7810,4294967295,101,0
8744,4294967295,181,0
6373,4294967295,146,0
6377,4294967295,100,0
7040,4294967295,30,0
9767,4294967295,21,0
5490,4294967295,123,0
427,4294967295,30,0
3453,4294967295,58,0
673,4294967295,104,0
7350,4294967295,163,0
2290,4294967295,168,0
4800,4294967295,26,0
5666,4294967295,41,0
7782,4294967295,54,0
9319,4294967295,68,0
8569,4294967295,18,0
5838,4294967295,106,0
3617,4294967295,190,0
5099,4294967295,178,0
4253,4294967295,134,0
7278,4294967295,18,0
3761,4294967295,115,0
6331,4294967295,13,0
8782,4294967295,52,0
8191,4294967295,124,0
7575,4294967295,40,0
7665,4294967295,32,0
