timestamp,index,utilization_gpu_pct,memory_used_mib,memory_total_mib
2026-07-28T22:39:08-07:00,0, [N/A], 29148, 81559
2026-07-28T22:40:08-07:00,0, [N/A], 29148, 81559
2026-07-28T22:41:08-07:00,0, [N/A], 29148, 81559
2026-07-28T22:42:08-07:00,0, [N/A], 31868, 81559
2026-07-28T22:43:08-07:00,0, [N/A], 31868, 81559
2026-07-28T22:44:08-07:00,0, [N/A], 31868, 81559
2026-07-28T22:45:09-07:00,0, [N/A], 31868, 81559
2026-07-28T22:46:09-07:00,0, [N/A], 31868, 81559
2026-07-28T22:47:09-07:00,0, [N/A], 31868, 81559
2026-07-28T22:48:09-07:00,0, [N/A], 31868, 81559
2026-07-28T22:49:09-07:00,0, [N/A], 31868, 81559
2026-07-28T22:50:09-07:00,0, [N/A], 31868, 81559
2026-07-28T22:51:09-07:00,0, [N/A], 31868, 81559
2026-07-28T22:52:09-07:00,0, [N/A], 31868, 81559
2026-07-28T22:53:09-07:00,0, [N/A], 31868, 81559
2026-07-28T22:54:09-07:00,0, [N/A], 31868, 81559
2026-07-28T22:55:09-07:00,0, [N/A], 31868, 81559
2026-07-28T22:56:10-07:00,0, [N/A], 31868, 81559
2026-07-28T22:57:10-07:00,0, [N/A], 31868, 81559
2026-07-28T22:58:10-07:00,0, [N/A], 31868, 81559
2026-07-28T22:59:10-07:00,0, [N/A], 31868, 81559
2026-07-28T23:00:10-07:00,0, [N/A], 31868, 81559
2026-07-28T23:01:10-07:00,0, [N/A], 31868, 81559
2026-07-28T23:02:10-07:00,0, [N/A], 31868, 81559
2026-07-28T23:03:10-07:00,0, [N/A], 31868, 81559
2026-07-28T23:04:10-07:00,0, [N/A], 31868, 81559
2026-07-28T23:05:10-07:00,0, [N/A], 31868, 81559
2026-07-28T23:06:11-07:00,0, [N/A], 31868, 81559
2026-07-28T23:07:11-07:00,0, [N/A], 31868, 81559
2026-07-28T23:08:11-07:00,0, [N/A], 31868, 81559
2026-07-28T23:09:11-07:00,0, [N/A], 31868, 81559
2026-07-28T23:10:11-07:00,0, [N/A], 31868, 81559
2026-07-28T23:11:11-07:00,0, [N/A], 31868, 81559
2026-07-28T23:12:11-07:00,0, [N/A], 31868, 81559
2026-07-28T23:13:11-07:00,0, [N/A], 31868, 81559
2026-07-28T23:14:12-07:00,0, [N/A], 31868, 81559
2026-07-28T23:15:12-07:00,0, [N/A], 31868, 81559
2026-07-28T23:16:12-07:00,0, [N/A], 31868, 81559
2026-07-28T23:17:12-07:00,0, [N/A], 31868, 81559
2026-07-28T23:18:12-07:00,0, [N/A], 31868, 81559
2026-07-28T23:19:12-07:00,0, [N/A], 31868, 81559
2026-07-28T23:20:12-07:00,0, [N/A], 31868, 81559
2026-07-28T23:21:12-07:00,0, [N/A], 31868, 81559
2026-07-28T23:22:12-07:00,0, [N/A], 31868, 81559
2026-07-28T23:23:13-07:00,0, [N/A], 31868, 81559
2026-07-28T23:24:13-07:00,0, [N/A], 31868, 81559
2026-07-28T23:25:13-07:00,0, [N/A], 31868, 81559
2026-07-28T23:26:13-07:00,0, [N/A], 31868, 81559
2026-07-28T23:27:13-07:00,0, [N/A], 31868, 81559
2026-07-28T23:28:13-07:00,0, [N/A], 31868, 81559
2026-07-28T23:29:13-07:00,0, [N/A], 31868, 81559
2026-07-28T23:30:13-07:00,0, [N/A], 31868, 81559
2026-07-28T23:31:13-07:00,0, [N/A], 31868, 81559
2026-07-28T23:32:14-07:00,0, [N/A], 31868, 81559
2026-07-28T23:33:14-07:00,0, [N/A], 31868, 81559
2026-07-28T23:34:14-07:00,0, [N/A], 31868, 81559
2026-07-28T23:35:14-07:00,0, [N/A], 31868, 81559
2026-07-28T23:36:14-07:00,0, [N/A], 31868, 81559
2026-07-28T23:37:14-07:00,0, [N/A], 31868, 81559
2026-07-28T23:38:14-07:00,0, [N/A], 31868, 81559
2026-07-28T23:39:15-07:00,0, [N/A], 31868, 81559
2026-07-28T23:40:15-07:00,0, [N/A], 31868, 81559
2026-07-28T23:41:15-07:00,0, [N/A], 31868, 81559
2026-07-28T23:42:15-07:00,0, [N/A], 31868, 81559
2026-07-28T23:43:15-07:00,0, [N/A], 31868, 81559
2026-07-28T23:44:15-07:00,0, [N/A], 31868, 81559
2026-07-28T23:45:16-07:00,0, [N/A], 31868, 81559
2026-07-28T23:46:16-07:00,0, [N/A], 31868, 81559
2026-07-28T23:47:16-07:00,0, [N/A], 31868, 81559
2026-07-28T23:48:16-07:00,0, [N/A], 31868, 81559
2026-07-28T23:49:16-07:00,0, [N/A], 31868, 81559
2026-07-28T23:50:16-07:00,0, [N/A], 31868, 81559
2026-07-28T23:51:16-07:00,0, [N/A], 31868, 81559
2026-07-28T23:52:16-07:00,0, [N/A], 31868, 81559
2026-07-28T23:53:16-07:00,0, [N/A], 31868, 81559
2026-07-28T23:54:16-07:00,0, [N/A], 31868, 81559
2026-07-28T23:55:16-07:00,0, [N/A], 31868, 81559
2026-07-28T23:56:16-07:00,0, [N/A], 31868, 81559
2026-07-28T23:57:17-07:00,0, [N/A], 31868, 81559
2026-07-28T23:58:17-07:00,0, [N/A], 31868, 81559
2026-07-28T23:59:17-07:00,0, [N/A], 31868, 81559
2026-07-29T00:00:17-07:00,0, [N/A], 31868, 81559
2026-07-29T00:01:17-07:00,0, [N/A], 31868, 81559
2026-07-29T00:02:17-07:00,0, [N/A], 31868, 81559
2026-07-29T00:03:17-07:00,0, [N/A], 31868, 81559
2026-07-29T00:04:17-07:00,0, [N/A], 31868, 81559
2026-07-29T00:05:17-07:00,0, [N/A], 31868, 81559
